column,unit,n,mean,std,min,p5,p25,p50,p75,p95,max,nan_pct
lat,degrees_north,1057714,28.64999771118164,0.14491376280784607,28.399999618530273,28.423999786376953,28.52400016784668,28.649999618530273,28.775999069213867,28.875999450683594,28.899999618530273,0.0
lon,degrees_east,1057714,77.19998931884766,0.17378148436546326,76.9000015258789,76.93000030517578,77.05000305175781,77.19999694824219,77.3499984741211,77.47000122070312,77.5,0.0
alt_m,m,1057714,599.9999389648438,424.6847839355469,50.0,50.0,200.0,550.0,900.0,1500.0,1500.0,0.0
elev_m,m_MSL,1057714,217.96731567382812,16.37288475036621,190.42999267578125,198.58999633789062,210.02999877929688,214.75,220.11000061035156,257.989990234375,305.0400085449219,0.0
slope_deg,degrees,1057714,0.15858547389507294,0.18331730365753174,0.0,0.017999999225139618,0.04699999839067459,0.09399999678134918,0.2029999941587448,0.49900001287460327,2.3550000190734863,0.0
roughness_m,m,1057714,0.4693959355354309,0.5326053500175476,0.0,0.05999999865889549,0.14000000059604645,0.2800000011920929,0.6000000238418579,1.4600000381469727,6.599999904632568,0.0
terrain_clearance_m,m,1057714,408.60760498046875,395.1901550292969,0.0,0.0,0.0,306.2900085449219,685.25,1281.1300048828125,1309.5699462890625,0.0
wind_u_mps,m/s,1057714,4.4852681159973145,2.100193500518799,0.0,1.4551000595092773,2.6579999923706055,4.689899921417236,6.166299819946289,7.427631378173828,12.751299858093262,0.0
wind_v_mps,m/s,1057714,1.3021433353424072,4.260120391845703,-5.777699947357178,-3.898900032043457,-2.4400999546051025,0.5087000131607056,5.541800022125244,9.401900291442871,14.51509952545166,0.0
wind_w_mps,m/s,1057714,1.2628363947442267e-05,8.350778080057353e-05,-0.00039999998989515007,0.0,0.0,0.0,0.0,0.00019999999494757503,0.0006000000284984708,0.0
wind_speed_mps,m/s,1057714,6.209035396575928,2.4125750064849854,1.7999999523162842,3.0281999111175537,3.880500078201294,5.942150115966797,8.139900207519531,10.006199836730957,15.100000381469727,0.0
wind_dir_deg,degrees,1057714,268.8955383300781,43.230987548828125,180.0,192.3000030517578,229.41000366210938,265.75,306.69000244140625,331.17999267578125,343.0,0.0
turbulence_intensity,dimensionless,1057714,0.25141969323158264,0.2789011001586914,0.0,0.0,0.0,0.1647000014781952,0.39969998598098755,1.0,1.0,0.0
nearest_obstacle_dist_m,m,1057714,795.4432373046875,841.0993041992188,1.100000023841858,73.19999694824219,227.39999389648438,503.29998779296875,1044.300048828125,2558.89990234375,6855.60009765625,0.0
nearest_obstacle_height_m,m,1057714,35.708316802978516,11.793708801269531,5.0,9.0,40.0,40.0,40.0,45.0,300.0,0.0
T1_detect_prob,probability,1057714,0.9998499155044556,0.00020193863019812852,0.9985470175743103,0.9994310140609741,0.9997860193252563,0.9999380111694336,0.9999859929084778,0.9999989867210388,1.0,0.0
T2_detect_prob,probability,1057714,0.9994250535964966,0.0007253784569911659,0.9944909811019897,0.9979609847068787,0.9991710186004639,0.9997100234031677,0.9999279975891113,0.9999970197677612,1.0,0.0
T3_detect_prob,probability,1057714,0.9993467330932617,0.0008815943147055805,0.9939429759979248,0.9975469708442688,0.9990339875221252,0.9997180104255676,0.9999639987945557,0.9999989867210388,1.0,0.0
max_threat_prob,probability,1057714,0.9999374747276306,0.00010560621740296483,0.9991430044174194,0.9997209906578064,0.9999309778213501,0.9999790191650391,0.9999960064888,1.0,1.0,0.0
combined_threat_prob,probability,1057714,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
terrain_cost,dimensionless,1057714,0.23577743768692017,0.19484566152095795,0.006459999829530716,0.008849999867379665,0.052080001682043076,0.182109996676445,0.5003200173377991,0.5029100179672241,0.526170015335083,0.0
wind_cost,dimensionless,1057714,0.22494180500507355,0.09670422971248627,0.07666999846696854,0.1031700000166893,0.13630999624729156,0.21905499696731567,0.29677000641822815,0.38576000928878784,0.6543300151824951,0.0
obstacle_cost,dimensionless,1057714,0.19087782502174377,0.23346349596977234,0.0,0.0,0.005400000140070915,0.08073999732732773,0.32076001167297363,0.6934300065040588,0.9946900010108948,0.0
threat_cost,dimensionless,1057714,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
energy_cost,dimensionless,1057714,0.2027871459722519,0.11295109242200851,0.0406700000166893,0.059950001537799835,0.10100000351667404,0.18669000267982483,0.29350000619888306,0.42653998732566833,0.5013300180435181,0.0
fused_cost,dimensionless,1057714,0.5264545679092407,0.048800110816955566,0.44742000102996826,0.4723599851131439,0.49020999670028687,0.5097900032997131,0.5532000064849854,0.6286200284957886,0.7347099781036377,0.0
