Algorithm,Mission_Profile,Waypoints,Distance_km,Energy_kWh,Time_min,Risk_Pd,Elevation_gain_m
A*,Balanced,182,10.935,64.411,12.15,0.173,773.7
A*,Energy,169,10.471,60.789,11.63,0.2279,643.4
A*,Risk,188,10.862,64.541,12.07,0.1482,823.2
A*,Time,167,10.081,60.65,11.2,0.2278,824.4
Dijkstra,Balanced,213,12.547,71.968,13.94,0.1241,723.4
Dijkstra,Energy,213,13.127,73.248,14.59,0.1262,561.5
Dijkstra,Risk,212,12.062,71.156,13.4,0.124,884.7
Dijkstra,Time,204,11.62,67.994,12.91,0.1295,789.2
RRT*,Balanced,5,8.527,45.306,9.47,0.3187,67.0
RRT*,Energy,5,8.384,44.792,9.32,0.3322,87.3
RRT*,Risk,6,9.503,50.952,10.56,0.2394,143.6
RRT*,Time,4,8.517,44.985,9.46,0.2593,40.2
Theta*,Balanced,182,10.935,64.411,12.15,0.173,773.7
Theta*,Energy,169,10.471,60.789,11.63,0.2279,643.4
Theta*,Risk,188,10.862,64.541,12.07,0.1482,823.2
Theta*,Time,167,10.081,60.65,11.2,0.2278,824.4
