Algorithm,Profile,Energy_kWh,Time_min,Risk_Pd
A*,Balanced,64.4106653809107,12.149635231997317,0.1730274832827972
A*,Risk,64.54145351521909,12.068755002957552,0.148157647090031
A*,Time,60.649551730620885,11.201242575782567,0.22783799436771052
Dijkstra,Risk,71.15619396481084,13.402088336290886,0.12396542678677594
Dijkstra,Time,67.99391181070604,12.911620162693875,0.12953472375581063
RRT*,Energy,44.79154785476802,9.3152945711397,0.33222517703584437
RRT*,Risk,50.95193417415746,10.559170687767141,0.23936078149559784
RRT*,Time,44.9845828622388,9.462842564148199,0.2592764604101052
Theta*,Balanced,64.4106653809107,12.149635231997317,0.1730274832827972
Theta*,Risk,64.54145351521909,12.068755002957552,0.148157647090031
Theta*,Time,60.649551730620885,11.201242575782567,0.22783799436771052
