Algorithm,Mission_Profile,Distance_km,Energy_kWh,Time_min,Risk_Pd,Waypoints,Required_Speed_m_s,Est_Turn_Rate_deg_s,Battery_kWh,Energy_OK,Speed_OK,Altitude_OK,TurnRate_OK,Curvature_OK,Feasible
A*,Balanced,,64.4106653809107,12.149635231997316,0.1730274832827972,100,,2.04,50.0,False,True,True,True,True,False
A*,Risk,,64.54145351521909,12.068755002957552,0.148157647090031,100,,2.05,50.0,False,True,True,True,True,False
A*,Time,,60.649551730620885,11.201242575782569,0.2278379943677105,100,,2.21,50.0,False,True,True,True,True,False
Dijkstra,Risk,,71.15619396481084,13.402088336290886,0.1239654267867759,100,,1.85,50.0,False,True,True,True,True,False
Dijkstra,Time,,67.99391181070604,12.911620162693875,0.1295347237558106,100,,1.92,50.0,False,True,True,True,True,False
RRT*,Energy,,44.79154785476802,9.3152945711397,0.3322251770358443,100,,2.66,50.0,True,True,True,True,True,True
RRT*,Risk,,50.95193417415746,10.55917068776714,0.2393607814955978,100,,2.34,50.0,False,True,True,True,True,False
RRT*,Time,,44.9845828622388,9.4628425641482,0.2592764604101052,100,,2.62,50.0,True,True,True,True,True,True
Theta*,Balanced,,64.4106653809107,12.149635231997316,0.1730274832827972,100,,2.04,50.0,False,True,True,True,True,False
Theta*,Risk,,64.54145351521909,12.068755002957552,0.148157647090031,100,,2.05,50.0,False,True,True,True,True,False
Theta*,Time,,60.649551730620885,11.201242575782569,0.2278379943677105,100,,2.21,50.0,False,True,True,True,True,False
